x_deg,y_deg,z_deg,n_frames,mean_opt_loss,median_opt_loss,std_opt_loss,mean_init_loss
-180.0,90.0,-180.0,73,0.0014130640774965286,0.0009479126892983913,0.0010877747554332018,0.003919606097042561
180.0,90.0,-180.0,73,0.0014130640774965286,0.0009479126892983913,0.0010877747554332018,0.003919606097042561
-180.0,90.0,180.0,73,0.0014573902590200305,0.0009550219983793795,0.0011722077615559101,0.003919606097042561
-135.0,90.0,-135.0,73,0.0014573902590200305,0.0009550219983793795,0.0011722076451405883,0.003919606097042561
-90.0,90.0,-90.0,73,0.0014573902590200305,0.0009550219983793795,0.0011722077615559101,0.003919606097042561
-45.0,90.0,-45.0,73,0.0014573902590200305,0.0009550219983793795,0.0011722077615559101,0.003919606097042561
0.0,90.0,0.0,73,0.0014573902590200305,0.0009550219983793795,0.0011722077615559101,0.003919606097042561
45.0,90.0,45.0,73,0.0014573902590200305,0.0009550219983793795,0.0011722077615559101,0.003919606097042561
90.0,90.0,90.0,73,0.0014573902590200305,0.0009550219983793795,0.0011722077615559101,0.003919606097042561
135.0,90.0,135.0,73,0.0014573902590200305,0.0009550219983793795,0.0011722077615559101,0.003919606097042561
180.0,90.0,180.0,73,0.0014573902590200305,0.0009550219983793795,0.0011722077615559101,0.003919606097042561
-135.0,90.0,-180.0,73,0.0020552827045321465,0.0020192095544189215,0.0009813298238441348,0.003980052191764116
-90.0,45.0,-90.0,73,0.0020771948620676994,0.002021010732278228,0.000686843937728554,0.0044024125672876835
90.0,135.0,90.0,73,0.0020771948620676994,0.002021010732278228,0.000686843937728554,0.0044024125672876835
-180.0,90.0,135.0,73,0.0022747342009097338,0.0020404269453138113,0.00133736792486161,0.003980052191764116
-135.0,90.0,180.0,73,0.0022747342009097338,0.0020404269453138113,0.00133736792486161,0.003980052191764116
-90.0,90.0,-135.0,73,0.0022747342009097338,0.0020404269453138113,0.0013373678084462881,0.003980052191764116
-45.0,90.0,-90.0,73,0.0022747342009097338,0.0020404269453138113,0.00133736792486161,0.003980052191764116
0.0,90.0,-45.0,73,0.0022747342009097338,0.0020404269453138113,0.00133736792486161,0.003980052191764116
45.0,90.0,0.0,73,0.0022747342009097338,0.0020404269453138113,0.00133736792486161,0.003980052191764116
90.0,90.0,45.0,73,0.0022747342009097338,0.0020404269453138113,0.00133736792486161,0.003980052191764116
135.0,90.0,90.0,73,0.0022747342009097338,0.0020404269453138113,0.00133736792486161,0.003980052191764116
180.0,90.0,135.0,73,0.0022747342009097338,0.0020404269453138113,0.00133736792486161,0.003980052191764116
135.0,90.0,-180.0,73,0.002329530892893672,0.001962608890607953,0.0011283493367955089,0.006509086117148399
-45.0,45.0,-90.0,73,0.002333769341930747,0.0023872291203588247,0.000796133594121784,0.0036937897093594074
135.0,135.0,90.0,73,0.002333769341930747,0.0023872291203588247,0.000796133594121784,0.0036937897093594074
-180.0,90.0,-135.0,73,0.002361441496759653,0.0019626186694949865,0.0011929200263693929,0.006509086117148399
180.0,90.0,-135.0,73,0.002361441496759653,0.0019626186694949865,0.0011929200263693929,0.006509086117148399
-135.0,90.0,-90.0,73,0.0023614417295902967,0.0019626186694949865,0.0011929200263693929,0.006509086117148399
-90.0,90.0,-45.0,73,0.0023614417295902967,0.0019626186694949865,0.0011929200263693929,0.006509086117148399
-45.0,90.0,0.0,73,0.0023614417295902967,0.0019626186694949865,0.0011929200263693929,0.006509086117148399
0.0,90.0,45.0,73,0.0023614417295902967,0.0019626186694949865,0.0011929200263693929,0.006509086117148399
45.0,90.0,90.0,73,0.0023614417295902967,0.0019626186694949865,0.0011929200263693929,0.006509086117148399
90.0,90.0,135.0,73,0.0023614417295902967,0.0019626186694949865,0.0011929200263693929,0.006509086117148399
135.0,90.0,180.0,73,0.0023614417295902967,0.0019626186694949865,0.0011929200263693929,0.006509086117148399
-180.0,45.0,-135.0,73,0.0023834051098674536,0.002033521654084325,0.0010629405733197927,0.004897719714790583
0.0,135.0,45.0,73,0.0023834051098674536,0.002033521654084325,0.0010629405733197927,0.004897719714790583
180.0,45.0,-135.0,73,0.0023834051098674536,0.002033521654084325,0.0010629405733197927,0.004897719714790583
-135.0,45.0,-90.0,73,0.0024077054113149643,0.0024555011186748743,0.000781756010837853,0.0054766531102359295
45.0,135.0,90.0,73,0.0024077054113149643,0.0024555011186748743,0.000781756010837853,0.0054766531102359295
-180.0,135.0,135.0,73,0.0024134505074471235,0.002095861127600074,0.001221245969645679,0.0031523716170340776
0.0,45.0,-45.0,73,0.0024134505074471235,0.002095861127600074,0.001221245969645679,0.0031523716170340776
180.0,135.0,135.0,73,0.0024134505074471235,0.002095861127600074,0.001221245969645679,0.0031523716170340776
-135.0,135.0,135.0,73,0.002652064198628068,0.00226573646068573,0.0013914728770032525,0.0031524943187832832
45.0,45.0,-45.0,73,0.002652064198628068,0.00226573646068573,0.0013914728770032525,0.0031524943187832832
-45.0,135.0,45.0,73,0.002682445803657174,0.0024900867138057947,0.0011436417698860168,0.006149604916572571
135.0,45.0,-135.0,73,0.002682445803657174,0.0024900867138057947,0.0011436417698860168,0.006149604916572571
-90.0,135.0,90.0,73,0.0029675259720534086,0.002633577212691307,0.001073584076948464,0.005650711711496115
90.0,45.0,-90.0,73,0.0029675259720534086,0.002633577212691307,0.001073584076948464,0.005650711711496115
-180.0,135.0,90.0,73,0.003074011066928506,0.0028963822405785322,0.0010601116809993982,0.00376588711515069
0.0,45.0,-90.0,73,0.003074011066928506,0.0028963822405785322,0.0010601116809993982,0.00376588711515069
180.0,135.0,90.0,73,0.003074011066928506,0.0028963822405785322,0.0010601116809993982,0.00376588711515069
-180.0,45.0,-90.0,73,0.0031075000297278166,0.002959601581096649,0.0009094932465814054,0.006287237163633108
0.0,135.0,90.0,73,0.0031075000297278166,0.002959601581096649,0.0009094932465814054,0.006287237163633108
